Segment ID,day,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
194175,Weekday,EB,4.0,118.6,85.6,22.2,26.4,19.8,41.4,102.8,549.6,1037.8,619.8,389.8,401.4,465.8,524.8,762.2,1283.6,1431.4,1267.2,938.2,617.0,339.0,271.6,253.6,152.8,11722.4
194175,Weekend,EB,4.0,175.25,138.5,103.25,74.5,76.5,35.5,46.0,103.0,231.5,315.0,437.5,575.25,674.5,812.25,870.75,767.25,723.25,613.25,482.5,414.5,353.0,286.0,263.75,181.25,8754.0
194327,Weekday,EB,2.0,144.6,86.6,61.4,47.2,65.0,90.6,218.8,312.4,392.2,375.4,352.4,358.6,383.4,372.6,383.4,406.0,415.6,420.8,417.4,411.4,363.8,325.2,256.0,207.6,6868.4
194327,Weekend,EB,2.0,239.5,167.0,122.0,100.25,109.75,96.5,126.0,179.0,245.5,289.5,314.25,376.0,387.75,410.75,433.0,432.5,430.0,426.75,420.25,404.75,358.0,311.75,289.25,244.5,6914.5
194331,Weekday,EB,3.0,73.0,46.25,23.75,27.25,31.75,105.75,188.5,307.25,345.0,338.75,349.0,393.5,414.0,466.25,453.5,509.5,511.25,533.75,473.5,427.5,363.75,283.5,209.25,133.75,7009.25
194331,Weekday,SB,3.0,104.8,71.2,43.2,31.4,38.6,107.4,219.2,321.6,376.0,388.8,487.4,607.0,618.4,684.0,710.2,884.6,827.0,785.6,817.4,697.6,556.4,413.2,269.4,173.0,10233.4
194331,Weekday,WB,3.0,7.75,5.0,4.25,4.5,4.0,11.5,29.5,55.75,66.5,47.5,51.0,63.75,77.75,62.0,67.5,63.75,72.75,79.0,65.0,62.25,51.0,34.5,28.0,19.0,1033.5
194331,Weekend,EB,3.0,117.5,69.5,66.5,42.0,53.5,75.0,68.0,102.5,141.0,177.0,251.0,188.0,346.0,326.0,394.0,410.0,423.0,408.0,345.0,288.0,233.0,163.0,148.0,130.0,5158.0
194331,Weekend,SB,3.0,207.0,102.25,73.75,55.0,47.0,70.5,102.5,222.5,306.0,427.75,630.0,712.0,863.25,924.75,939.75,1014.0,949.0,846.25,758.25,650.0,469.25,307.0,218.75,202.75,11099.25
194331,Weekend,WB,3.0,5.0,6.0,5.0,8.0,2.0,6.0,15.0,22.0,17.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
194371,Weekday,NB,4.0,14.6,7.0,4.8,3.0,3.4,15.4,58.4,281.4,205.4,103.2,105.4,108.8,129.2,122.8,189.6,173.0,163.2,168.8,168.8,136.2,107.2,74.0,49.2,30.4,2423.2
