,Segment ID,day,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
90,12832,Weekday,5.0,58.2,50.4,78.95,107.0,123.25,171.1,338.2,619.6,572.75,457.8,463.45,492.1,514.7,532.15,546.1,547.7,500.7,523.35,454.35,347.4,251.55,197.4,139.4,101.45,8189.05
91,12832,Weekend,5.0,88.5,65.875,73.5625,76.1875,83.8125,116.25,167.6875,240.1875,311.75,376.6875,425.25,454.6875,506.625,462.4375,425.75,377.0,362.6875,323.4375,294.4375,267.1875,203.0,171.3125,131.75,102.9375,6109.0
93,12945,Weekend,5.0,63.75,40.0,23.25,18.0,13.25,23.75,68.5,212.0,279.5,239.0,313.75,348.25,419.75,451.25,569.25,537.0,556.75,621.25,594.75,447.0,295.0,148.0,131.5,106.5,6521.0
92,12945,Weekday,5.0,61.5,32.833333333333336,16.666666666666668,11.5,10.166666666666666,19.333333333333332,67.5,239.33333333333334,307.3333333333333,225.16666666666666,229.16666666666666,357.1666666666667,400.8333333333333,476.3333333333333,537.8333333333334,559.3333333333334,626.0,639.6666666666666,537.3333333333334,311.3333333333333,190.66666666666666,145.0,97.16666666666667,70.33333333333333,6169.5
94,13133,Weekday,5.0,209.41666666666666,114.66666666666667,75.75,60.583333333333336,106.0,276.5,644.5,1045.6666666666667,1111.25,925.8333333333334,847.0,870.25,897.1666666666666,936.0833333333334,1080.6666666666667,1030.9166666666667,1125.6666666666667,1113.0,1059.4166666666667,993.9166666666666,801.25,654.3333333333334,510.9166666666667,373.8333333333333,16864.583333333332
95,13133,Weekend,5.0,399.0,246.0,162.75,122.125,121.875,144.25,269.25,427.0,542.5,687.75,786.875,881.375,959.125,982.625,945.875,875.0,858.125,808.125,799.75,743.5,660.5,545.5,505.75,405.5,13880.125
96,14422,Weekday,5.0,164.9,96.2,61.4,40.5,58.9,131.7,259.3,461.1,513.9,452.2,476.6,466.3,496.9,538.6,603.9,630.7,633.6,625.9,639.0,534.4,409.9,323.0,313.9,295.9,9228.7
97,14422,Weekend,5.0,287.375,194.125,130.875,93.75,73.375,86.0,146.875,242.75,354.25,413.25,523.25,586.0,688.0,705.125,667.25,654.25,651.5,624.25,626.0,550.125,453.0,376.125,330.25,308.375,9766.125
98,14602,Weekday,5.0,51.903225806451616,26.032258064516128,19.096774193548388,18.225806451612904,41.774193548387096,142.32258064516128,238.2258064516129,391.83870967741933,273.61290322580646,225.80645161290323,197.19354838709677,196.93548387096774,202.4516129032258,224.51612903225808,309.4516129032258,336.6774193548387,333.93548387096774,330.64516129032256,311.61290322580646,257.2258064516129,183.25806451612902,138.58064516129033,108.6774193548387,87.64516129032258,4647.645161290323
99,14602,Weekend,5.0,91.45833333333333,53.958333333333336,29.791666666666668,24.916666666666668,25.291666666666668,45.708333333333336,79.29166666666667,117.08333333333333,173.375,214.83333333333334,243.70833333333334,260.6666666666667,251.875,235.33333333333334,230.75,228.875,230.5,231.41666666666666,225.66666666666666,190.83333333333334,157.75,130.08333333333334,114.70833333333333,93.66666666666667,3681.5416666666665
101,15047,Weekend,5.0,77.38888888888889,55.111111111111114,42.166666666666664,38.5,40.22222222222222,59.94444444444444,87.0,142.72222222222223,199.44444444444446,236.77777777777777,269.55555555555554,284.05555555555554,286.6875,288.625,270.1875,275.5625,269.3125,246.0,229.5,196.9375,167.0,134.3125,111.0625,87.75,4077.6875
